sample_id	family_id	role	affected	fastq_r1	fastq_r2	bam_path
2101039S1OWC_L1_R64Y0000684	2101039S1OWC_L1_R64Y0000684	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101039S1OWC_L1_R64Y0000684.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101039S1OWC_L1_R64Y0000684.R2.fastq.gz	
2101040S1OWC_L1_R60Y0000665	2101040S1OWC_L1_R60Y0000665	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101040S1OWC_L1_R60Y0000665.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101040S1OWC_L1_R60Y0000665.R2.fastq.gz	
2101041S1OWC_L1_R06Y0002393	2101041S1OWC_L1_R06Y0002393	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101041S1OWC_L1_R06Y0002393.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101041S1OWC_L1_R06Y0002393.R2.fastq.gz	
2101042S1OWC_L1_R90Y0000662	2101042S1OWC_L1_R90Y0000662	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101042S1OWC_L1_R90Y0000662.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101042S1OWC_L1_R90Y0000662.R2.fastq.gz	
2101464S1OWC_L1_R48Y0000647	2101464S1OWC_L1_R48Y0000647	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101464S1OWC_L1_R48Y0000647.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101464S1OWC_L1_R48Y0000647.R2.fastq.gz	
2101465S1OWC_L1_R63Y0000740	2101465S1OWC_L1_R63Y0000740	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101465S1OWC_L1_R63Y0000740.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101465S1OWC_L1_R63Y0000740.R2.fastq.gz	
2101466S1OWC_L1_R30F0000552	2101466S1OWC_L1_R30F0000552	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101466S1OWC_L1_R30F0000552.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101466S1OWC_L1_R30F0000552.R2.fastq.gz	
2101467S1OWC_L1_R13Y0000715	2101467S1OWC_L1_R13Y0000715	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101467S1OWC_L1_R13Y0000715.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101467S1OWC_L1_R13Y0000715.R2.fastq.gz	
2101468S1OWC_L1_R04Y0000684	2101468S1OWC_L1_R04Y0000684	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101468S1OWC_L1_R04Y0000684.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101468S1OWC_L1_R04Y0000684.R2.fastq.gz	
2101469S1OWC_L1_R58Y0000665	2101469S1OWC_L1_R58Y0000665	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101469S1OWC_L1_R58Y0000665.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101469S1OWC_L1_R58Y0000665.R2.fastq.gz	
2101470S1OWC_L1_R19Y0002393	2101470S1OWC_L1_R19Y0002393	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101470S1OWC_L1_R19Y0002393.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101470S1OWC_L1_R19Y0002393.R2.fastq.gz	
2101471S1OWC_L1_R64Y0000662	2101471S1OWC_L1_R64Y0000662	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101471S1OWC_L1_R64Y0000662.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101471S1OWC_L1_R64Y0000662.R2.fastq.gz	
2101472S1OWC_L1_R60Y0000081	2101472S1OWC_L1_R60Y0000081	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101472S1OWC_L1_R60Y0000081.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101472S1OWC_L1_R60Y0000081.R2.fastq.gz	
2101473S1OWC_L1_R06Y0000648	2101473S1OWC_L1_R06Y0000648	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101473S1OWC_L1_R06Y0000648.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101473S1OWC_L1_R06Y0000648.R2.fastq.gz	
2101474S1OWC_L1_R90F0000341	2101474S1OWC_L1_R90F0000341	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101474S1OWC_L1_R90F0000341.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101474S1OWC_L1_R90F0000341.R2.fastq.gz	
2101964S1OWC_L3_R30Y0000666	2101964S1OWC_L3_R30Y0000666	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101964S1OWC_L3_R30Y0000666.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101964S1OWC_L3_R30Y0000666.R2.fastq.gz	
2101965S1OWC_L3_R13Y0000726	2101965S1OWC_L3_R13Y0000726	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101965S1OWC_L3_R13Y0000726.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101965S1OWC_L3_R13Y0000726.R2.fastq.gz	
2101966S1OWC_L3_R68Y0000645	2101966S1OWC_L3_R68Y0000645	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101966S1OWC_L3_R68Y0000645.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101966S1OWC_L3_R68Y0000645.R2.fastq.gz	
2101967S1OWC_L1_R58Y0000647	2101967S1OWC_L1_R58Y0000647	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101967S1OWC_L1_R58Y0000647.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101967S1OWC_L1_R58Y0000647.R2.fastq.gz	
2101968S1OWC_L1_R19Y0000740	2101968S1OWC_L1_R19Y0000740	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101968S1OWC_L1_R19Y0000740.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101968S1OWC_L1_R19Y0000740.R2.fastq.gz	
2101969S1OWC_L1_R60Y0000715	2101969S1OWC_L1_R60Y0000715	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101969S1OWC_L1_R60Y0000715.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101969S1OWC_L1_R60Y0000715.R2.fastq.gz	
2101970S1OWC_L1_R90Y0000684	2101970S1OWC_L1_R90Y0000684	unknown	0	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101970S1OWC_L1_R90Y0000684.R1.fastq.gz	/home/zhangmeigroup/luoxin23/upload20251105/fastq/2101970S1OWC_L1_R90Y0000684.R2.fastq.gz	
